Total_Occupants,AC_SensorTemp_at_ServiceStart,Indoor_Temperature_no_AC,Outdoor_Temperature,AC_Capacity,Humidity,Air_Velocity,PMV_Initial,AC_Setpoint(MRT),Desired_AirVelocity,PMV_Target,Metabolic_Rate,Clothing_Insulation,Age_Group,Age,Hour,Season
2,30.0,35.0,43.0,1.5,44.0,0.23,2.1,28.0,0.22,0.97,1.06,0.48,young,20.0,0,summer
2,30.0,35.0,39.0,1.5,59.0,0.23,2.28,28.0,0.22,0.99,1.01,0.44,middle_aged,50.0,1,summer
2,30.0,35.0,39.0,2.0,45.0,0.22,2.14,28.0,0.22,0.98,1.05,0.49,middle_aged,50.0,2,summer
2,30.0,35.0,37.0,1.5,56.0,0.21,2.28,28.0,0.45,0.99,1.1,0.47,young,28.0,2,summer
2,30.0,35.0,36.0,1.5,56.0,0.22,2.25,28.0,0.33,0.98,1.09,0.44,young,33.0,3,summer
2,30.0,34.0,33.0,1.5,40.0,0.22,2.1,28.0,0.16,0.99,1.04,0.51,young,28.0,5,summer
2,30.0,33.0,31.0,1.5,62.0,0.23,2.41,27.0,0.91,1.0,1.07,0.57,young,35.0,6,summer
2,29.92,33.0,30.0,1.5,60.0,0.21,2.41,27.0,0.97,1.0,1.07,0.6,elderly,63.0,6,summer
2,30.0,33.0,30.0,2.0,54.0,0.22,2.28,28.0,0.74,0.99,1.11,0.53,young,29.0,7,summer
3,29.87,32.0,30.0,2.0,53.0,0.25,2.14,28.0,0.62,1.0,1.1,0.55,young,25.0,7,summer
2,28.91,31.0,31.0,1.5,39.0,0.22,1.72,28.0,0.1,0.96,1.06,0.57,young,26.0,7,summer
2,28.52,31.0,30.0,1.5,47.0,0.23,1.78,28.0,0.16,0.97,1.0,0.7,young,34.0,8,summer
2,29.41,31.0,30.0,1.5,29.0,0.26,1.8,28.0,0.22,0.99,1.01,0.76,middle_aged,48.0,9,summer
2,27.42,30.0,32.0,1.0,57.0,0.26,1.54,28.0,0.16,0.99,1.03,0.77,middle_aged,46.0,10,summer
1,25.69,29.0,32.0,2.0,59.0,0.24,1.13,28.0,0.1,0.94,1.18,0.71,young,32.0,11,summer
2,26.8,29.0,33.0,2.0,59.0,0.28,1.38,28.0,0.16,0.93,1.05,0.78,young,25.0,11,summer
2,26.19,29.0,32.0,1.5,48.0,0.26,0.9,28.0,0.1,0.64,1.08,0.59,middle_aged,39.0,11,summer
2,27.2,29.0,34.0,2.0,56.0,0.26,1.45,28.0,0.16,1.0,1.16,0.7,young,22.0,12,summer
2,27.74,30.0,35.0,1.5,61.0,0.27,1.59,28.0,0.16,0.93,1.01,0.67,middle_aged,46.0,12,summer
2,27.01,30.0,35.0,1.0,49.0,0.27,1.29,28.0,0.1,0.94,1.06,0.73,young,22.0,12,summer
3,26.39,29.0,36.0,2.0,50.0,0.28,0.91,28.0,0.1,0.64,1.04,0.6,young,22.0,12,summer
2,26.11,29.0,37.0,1.0,41.0,0.26,0.78,28.0,0.1,0.54,1.02,0.64,young,28.0,13,summer
3,27.43,29.0,43.0,1.0,51.0,0.28,1.31,28.0,0.1,0.94,1.08,0.64,middle_aged,53.0,16,summer
2,28.29,30.0,44.0,1.5,33.0,0.26,1.41,28.0,0.1,0.89,1.08,0.62,middle_aged,45.0,16,summer
4,28.16,30.0,45.0,1.5,60.0,0.32,1.37,28.0,0.1,0.85,1.04,0.46,elderly,58.0,16,summer
3,25.99,29.0,45.0,2.0,48.0,0.29,0.55,28.0,0.1,0.42,1.09,0.46,young,25.0,17,summer
2,27.47,30.0,45.0,1.5,55.0,0.27,1.36,28.0,0.1,0.97,1.13,0.58,young,32.0,17,summer
2,27.88,31.0,45.0,1.5,46.0,0.25,1.17,28.0,0.1,0.6,1.06,0.4,young,35.0,17,summer
3,28.86,31.0,45.0,2.0,52.0,0.29,1.64,28.0,0.1,0.95,1.02,0.51,young,23.0,18,summer
2,30.0,33.0,45.0,2.0,45.0,0.27,1.98,28.0,0.33,1.0,1.11,0.5,young,27.0,20,summer
2,30.0,34.0,45.0,1.5,32.0,0.26,1.96,28.0,0.33,0.99,1.03,0.66,elderly,77.0,21,summer
2,30.0,34.0,45.0,1.5,43.0,0.26,1.97,28.0,0.22,1.0,1.07,0.5,middle_aged,48.0,21,summer
2,30.0,33.0,45.0,1.5,45.0,0.26,2.15,27.0,0.97,1.0,1.05,0.72,elderly,77.0,21,summer
2,30.0,34.0,45.0,1.5,43.0,0.26,2.03,28.0,0.16,0.99,1.0,0.52,middle_aged,44.0,21,summer
2,30.0,34.0,45.0,1.5,48.0,0.22,2.19,28.0,0.22,0.95,1.01,0.49,middle_aged,50.0,22,summer
